"codmunres";"ano";"nascidos_vivos_asfixia1";"total_de_nascidos_vivos"
120042;2020;1;239
120042;2021;4;239
120043;2012;0;53
120043;2013;1;63
120043;2014;4;87
120043;2015;0;60
120043;2016;2;64
120043;2017;2;72
120043;2018;1;77
120043;2019;1;106
120043;2020;1;92
120043;2021;1;80
120045;2012;0;194
120045;2013;0;248
120045;2014;0;243
120045;2015;1;223
120045;2016;1;285
120045;2017;2;292
120045;2018;3;328
120045;2019;1;329
120045;2020;1;311
120045;2021;3;227
120050;2012;2;350
120050;2013;0;374
120050;2014;2;340
120050;2015;3;366
120050;2016;7;413
120050;2017;5;427
120050;2018;6;449
120050;2019;9;426
120050;2020;7;399
120050;2021;3;419
120060;2012;12;189
120060;2013;7;177
120060;2014;4;195
120060;2015;11;195
120060;2016;11;204
120060;2017;8;197
120060;2018;8;201
120060;2019;17;506
120060;2020;9;509
120060;2021;9;526
120070;2012;2;154
120070;2013;1;164
120070;2014;4;172
