"ano","codmunres","locnasc_incompletos","locnasc_totais","tpnascassi_incompletos","tpnascassi_totais"
2013,"211020",0,399,0,399
2013,"211023",0,103,1,103
2013,"211027",0,119,0,119
2013,"211030",0,106,42,106
2013,"211040",0,306,0,306
2013,"211050",0,230,6,230
2013,"211060",0,288,0,288
2013,"211065",0,67,1,67
2013,"211070",0,320,0,320
2013,"211080",0,26,17,26
2013,"211085",0,72,0,72
2013,"211090",0,98,1,98
2013,"211100",0,178,12,178
2013,"211102",0,171,0,171
2013,"211105",0,105,0,105
2013,"211107",0,184,0,184
2013,"211110",0,193,0,193
2013,"211120",0,1907,5,1907
2013,"211125",0,74,0,74
2013,"211130",0,8206,15,8206
2013,"211140",0,150,1,150
2013,"211150",0,395,10,395
2013,"211153",0,115,0,115
2013,"211157",0,21,18,21
2013,"211160",0,190,0,190
2013,"211163",0,39,0,39
2013,"211167",0,49,5,49
2013,"211170",0,228,0,228
2013,"211172",0,63,0,63
2013,"211174",0,131,1,131
2013,"211176",0,168,0,168
2013,"211178",0,122,43,122
2013,"211180",0,142,7,142
2013,"211190",0,93,0,93
2013,"211195",0,43,0,43
2013,"211200",0,91,10,91
2013,"211210",0,369,1,369
2013,"211220",0,1432,0,1432
2013,"211223",0,154,0,154
2013,"211227",0,70,11,70
2013,"211230",0,295,0,295
2013,"211240",0,480,1,480
2013,"211245",0,304,107,304
2013,"211250",0,601,3,601
2013,"211260",0,482,2,482
2013,"211270",0,634,2,634
2013,"211280",0,766,4,766
2013,"211285",0,69,3,69
2013,"211290",0,374,2,374
2013,"211300",0,197,1,197
2013,"211400",0,495,0,495
2013,"220005",0,27,3,27
2013,"220010",0,24,0,24
2013,"220020",0,128,0,128
2013,"220025",0,12,1,12
2013,"220027",0,19,0,19
2013,"220030",0,74,1,74
2013,"220040",0,293,4,293
2013,"220045",0,38,0,38
2013,"220050",0,173,2,173
2013,"220060",0,61,1,61
2013,"220070",0,62,0,62
2013,"220080",0,21,0,21
2013,"220090",0,27,0,27
2013,"220095",0,5,0,5
2013,"220100",0,25,1,25
2013,"220105",0,86,1,86
2013,"220110",0,102,0,102
2013,"220115",0,96,0,96
2013,"220117",0,11,0,11
2013,"220120",0,455,6,455
2013,"220130",0,39,0,39
2013,"220140",0,58,0,58
2013,"220150",0,214,2,214
2013,"220155",0,35,1,35
2013,"220157",0,14,0,14
2013,"220160",0,64,1,64
2013,"220170",0,45,0,45
2013,"220173",0,53,15,53
2013,"220177",0,61,0,61
2013,"220180",0,6,0,6
2013,"220190",0,179,0,179
2013,"220191",0,54,3,54
2013,"220192",0,39,0,39
2013,"220194",0,57,0,57
2013,"220196",0,45,0,45
2013,"220198",0,20,0,20
2013,"220200",0,217,1,217
2013,"220202",0,50,0,50
2013,"220205",0,66,0,66
2013,"220207",0,12,0,12
2013,"220208",0,62,0,62
2013,"220209",0,33,1,33
2013,"220210",0,38,0,38
2013,"220211",0,30,0,30
2013,"220213",0,20,0,20
2013,"220217",0,64,0,64
2013,"220220",0,463,1,463
2013,"220225",0,18,0,18
2013,"220230",0,108,0,108
2013,"220240",0,93,0,93
2013,"220245",0,16,0,16
2013,"220250",0,64,0,64
2013,"220253",0,53,0,53
2013,"220255",0,30,0,30
2013,"220260",0,180,0,180
2013,"220265",0,55,0,55
2013,"220270",0,262,2,262
2013,"220271",0,38,0,38
2013,"220272",0,49,1,49
2013,"220273",0,34,1,34
2013,"220275",0,30,0,30
2013,"220277",0,37,0,37
2013,"220280",0,33,0,33
2013,"220285",0,15,0,15
2013,"220290",0,296,0,296
2013,"220300",0,73,0,73
2013,"220310",0,83,0,83
2013,"220320",0,114,0,114
2013,"220323",0,34,0,34
2013,"220325",0,32,1,32
2013,"220327",0,43,19,43
2013,"220330",0,103,0,103
2013,"220335",0,50,1,50
2013,"220340",0,32,0,32
2013,"220342",0,28,0,28
2013,"220345",0,41,0,41
2013,"220350",0,66,0,66
2013,"220360",0,21,0,21
2013,"220370",0,326,2,326
2013,"220375",0,39,2,39
2013,"220380",0,28,2,28
2013,"220385",0,11,0,11
2013,"220390",0,306,0,306
2013,"220400",0,16,0,16
2013,"220410",0,31,3,31
2013,"220415",0,10,0,10
2013,"220420",0,35,0,35
2013,"220430",0,44,0,44
2013,"220435",0,23,0,23
2013,"220440",0,148,1,148
2013,"220450",0,58,1,58
2013,"220455",0,21,0,21
2013,"220460",0,29,0,29
2013,"220465",0,98,0,98
2013,"220470",0,76,0,76
2013,"220480",0,53,0,53
2013,"220490",0,65,2,65
2013,"220500",0,36,1,36
2013,"220510",0,58,0,58
2013,"220515",0,42,2,42
2013,"220520",0,77,1,77
2013,"220525",0,41,1,41
2013,"220527",0,30,0,30
2013,"220530",0,20,0,20
2013,"220535",0,14,0,14
2013,"220540",0,117,0,117
2013,"220545",0,35,0,35
2013,"220550",0,238,3,238
2013,"220551",0,45,0,45
2013,"220552",0,57,0,57
2013,"220553",0,31,0,31
2013,"220554",0,20,1,20
2013,"220555",0,70,4,70
2013,"220556",0,28,0,28
2013,"220557",0,48,0,48
2013,"220558",0,38,0,38
2013,"220559",0,16,0,16
2013,"220560",0,22,0,22
2013,"220570",0,290,1,290
2013,"220580",0,134,1,134
2013,"220585",0,38,0,38
2013,"220590",0,39,0,39
2013,"220595",0,50,0,50
2013,"220600",0,29,0,29
2013,"220605",0,15,0,15
2013,"220610",0,62,1,62
2013,"220620",0,365,2,365
2013,"220630",0,13,0,13
2013,"220635",0,64,1,64
2013,"220640",0,95,0,95
2013,"220650",0,23,0,23
2013,"220660",0,112,1,112
2013,"220665",0,51,0,51
2013,"220667",0,46,1,46
2013,"220669",0,80,0,80
2013,"220670",0,41,0,41
2013,"220672",0,101,0,101
2013,"220675",0,43,0,43
2013,"220680",0,98,0,98
2013,"220690",0,15,0,15
2013,"220695",0,8,0,8
2013,"220700",0,178,0,178
2013,"220710",0,21,1,21
2013,"220720",0,37,0,37
2013,"220730",0,24,0,24
2013,"220735",0,11,0,11
2013,"220740",0,26,1,26
2013,"220750",0,109,5,109
2013,"220755",0,12,0,12
2013,"220760",0,105,1,105
2013,"220770",0,1310,2,1310
2013,"220775",0,30,0,30
2013,"220777",0,22,0,22
2013,"220779",0,29,1,29
2013,"220780",0,200,11,200
2013,"220785",0,12,1,12
2013,"220790",0,325,0,325
2013,"220793",0,9,0,9
2013,"220795",0,26,0,26
2013,"220800",0,311,0,311
2013,"220810",0,46,0,46
2013,"220820",0,104,0,104
2013,"220830",0,235,0,235
2013,"220840",0,481,3,481
2013,"220850",0,168,1,168
2013,"220855",0,27,0,27
2013,"220860",0,28,0,28
2013,"220865",0,58,0,58
2013,"220870",0,90,1,90
2013,"220880",0,189,0,189
2013,"220885",0,54,3,54
2013,"220887",0,24,1,24
2013,"220890",0,42,0,42
2013,"220900",0,32,0,32
2013,"220910",0,32,0,32
2013,"220915",0,18,0,18
2013,"220920",0,71,1,71
2013,"220930",0,36,0,36
2013,"220935",0,13,0,13
2013,"220937",0,26,0,26
2013,"220940",0,19,0,19
2013,"220945",0,14,0,14
2013,"220950",0,10,0,10
2013,"220955",0,15,0,15
2013,"220960",0,22,0,22
2013,"220965",0,20,0,20
2013,"220970",0,37,1,37
2013,"220975",0,26,0,26
2013,"220980",0,33,0,33
2013,"220985",0,17,0,17
2013,"220987",0,43,0,43
2013,"220990",0,35,0,35
2013,"220995",0,25,0,25
2013,"220997",0,83,1,83
2013,"221000",0,125,0,125
2013,"221005",0,32,0,32
2013,"221010",0,27,0,27
2013,"221020",0,28,1,28
2013,"221030",0,34,0,34
2013,"221035",0,19,0,19
2013,"221037",0,8,0,8
2013,"221038",0,12,0,12
2013,"221039",0,12,0,12
2013,"221040",0,150,1,150
2013,"221050",0,112,0,112
2013,"221060",0,160,0,160
2013,"221062",0,55,6,55
2013,"221063",0,16,0,16
2013,"221065",0,60,0,60
2013,"221070",0,105,0,105
2013,"221080",0,80,3,80
2013,"221090",0,25,2,25
2013,"221093",0,13,0,13
2013,"221095",0,12,0,12
2013,"221097",0,12,0,12
2013,"221100",0,5029,28,5029
2013,"221110",0,429,9,429
2013,"221120",0,158,1,158
2013,"221130",0,88,0,88
2013,"221135",0,26,0,26
2013,"221140",0,17,0,17
2013,"221150",0,12,0,12
2013,"221160",0,8,0,8
2013,"221170",0,23,0,23
2013,"230000",0,1,0,1
2013,"230010",0,25,2,25
2013,"230015",0,123,0,123
2013,"230020",0,596,0,596
2013,"230030",0,269,0,269
2013,"230040",0,80,0,80
2013,"230050",0,70,1,70
2013,"230060",0,33,0,33
2013,"230070",0,87,1,87
2013,"230075",0,405,0,405
