CODMUNRES,ANO,subregistro_SINASC,subregistro_SIM
150095,2018,2.1291,1.8648
150095,2019,2.1121,0.5653
150100,2015,19.823,14.6245
150100,2016,8.8255,11.0739
150100,2017,6.1612,4.6372
150100,2018,6.2134,11.1772
150100,2019,6.6615,2.5285
150110,2015,9.6077,3.9116
150110,2016,4.9133,6.0738
150110,2017,3.9653,9.3917
150110,2018,2.3365,3.8251
150110,2019,1.3534,3.7298
150120,2015,5.6516,16.3927
150120,2016,4.5811,14.8409
150120,2017,3.135,11.1248
150120,2018,5.2032,4.0035
150120,2019,2.5345,0.636
150125,2015,4.8797,8.0299
150125,2016,3.7569,2.73
150125,2017,11.3681,0.7071
150125,2018,2.2119,0.8998
150125,2019,2.3054,0.4918
150130,2015,2.0962,7.8984
150130,2016,2.6099,7.5777
150130,2017,3.4828,6.263
150130,2018,1.6824,1.5674
150130,2019,0.7136,2.0648
150140,2015,1.6459,2.0662
150140,2016,1.9595,2.796
150140,2017,1.5016,2.4697
150140,2018,0.6782,1.8823
150140,2019,0.4773,1.3704
150145,2015,8.0574,5.8986
150145,2016,4.4353,4.3376
150145,2017,4.6107,5.9315
150145,2018,2.8987,7.3122
150145,2019,2.1377,4.8373
150150,2015,2.2334,1.6884
150150,2016,2.5039,3.2443
150150,2017,0.9979,6.2765
150150,2018,0.9764,3.9281
150150,2019,0.7335,1.9104
150157,2015,3.1096,3.4606
150157,2016,6.8239,5.1057
150157,2017,3.4312,2.2048
150157,2018,2.0728,0.864
150157,2019,1.6507,0.5554
150160,2015,3.1972,8.5828
150160,2016,4.4158,5.7416
150160,2017,3.7116,6.787
150160,2018,2.5482,7.018
150160,2019,0.5772,4.54
150170,2015,2.6742,3.3895
150170,2016,2.0895,3.2021
150170,2017,1.5173,3.1283
150170,2018,1.4591,3.3406
150170,2019,0.7285,1.906
