"codmunres";"ano";"anomalia";"grupo_de_anomalias_congenitas";"descricao";"nascidos_vivos_anomalia"
110009;2024;"Q661";"Defeitos de membros";"Deformidades congênitas do pé";1
110009;2024;"Q660";"Defeitos de membros";"Deformidades congênitas do pé";1
110010;2013;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110010;2013;"Q02X";"Microcefalia";"Microcefalia";1
110010;2013;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110010;2014;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110010;2014;"Q902";"Síndrome de Down";"Síndrome de Down";1
110010;2015;"Q220";"Cardiopatias congênitas";"Malformações congênitas das valvas pulmonar e tricúspide";1
110010;2015;"Q665";"Defeitos de membros";"Deformidades congênitas do pé";1
110010;2015;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110010;2016;"Q270";"Cardiopatias congênitas";"Outras malformações congênitas do sistema vascular periférico";1
110010;2016;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110010;2016;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110010;2016;"Q699";"Defeitos de membros";"Polidactilia";1
110010;2017;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110010;2018;"Q564";"Defeitos de órgãos genitais";"Sexo indeterminado e pseudo-hermafroditismo";1
110010;2018;"Q909";"Síndrome de Down";"Síndrome de Down";1
110010;2018;"Q792";"Defeitos da parede abdominal";"Exonfalia";1
110010;2018;"Q699";"Defeitos de membros";"Polidactilia";1
110010;2019;"Q270";"Cardiopatias congênitas";"Outras malformações congênitas do sistema vascular periférico";1
110010;2019;"Q270";"Cardiopatias congênitas";"Outras malformações congênitas do sistema vascular periférico";1
110010;2019;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110010;2019;"Q792";"Defeitos da parede abdominal";"Exonfalia";1
110010;2019;"Q660";"Defeitos de membros";"Deformidades congênitas do pé";1
110010;2019;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110010;2020;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110010;2020;"Q660";"Defeitos de membros";"Deformidades congênitas do pé";1
110010;2020;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110010;2020;"Q699";"Defeitos de membros";"Polidactilia";1
110010;2021;"Q369";"Fendas orais";"Fenda labial";1
110010;2021;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110010;2021;"Q909";"Síndrome de Down";"Síndrome de Down";1
110010;2021;"Q699";"Defeitos de membros";"Polidactilia";1
110010;2021;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110010;2022;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110010;2022;"Q02X";"Microcefalia";"Microcefalia";1
110010;2022;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110010;2022;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110010;2022;"Q690";"Defeitos de membros";"Polidactilia";1
110010;2022;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110010;2022;"Q369";"Fendas orais";"Fenda labial";1
110010;2022;"Q699";"Defeitos de membros";"Polidactilia";1
110010;2023;"Q792";"Defeitos da parede abdominal";"Exonfalia";1
110010;2023;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110010;2023;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110010;2024;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110010;2024;"Q369";"Fendas orais";"Fenda labial";1
110010;2024;"Q379";"Fendas orais";"Fenda labial com fenda palatina";1
110010;2024;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110010;2024;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110011;2012;"Q058";"Defeitos de tubo neural";"Espinha bifida";1
110011;2012;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2012;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2013;"Q660";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2013;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110011;2013;"Q054";"Defeitos de tubo neural";"Espinha bifida";1
110011;2013;"Q713";"Defeitos de membros";"Defeitos por redução do membro superior";1
110011;2014;"Q02X";"Microcefalia";"Microcefalia";1
110011;2014;"Q234";"Cardiopatias congênitas";"Malformações congênitas das valvas aórtica e mitral";1
110011;2015;"Q909";"Síndrome de Down";"Síndrome de Down";1
110011;2015;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110011;2015;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2016;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2016;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110011;2016;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110011;2016;"Q743";"Defeitos de membros";"Artrogripose congênita múltipla";1
110011;2016;"Q664";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2017;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110011;2017;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110011;2018;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110011;2018;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110011;2018;"Q729";"Defeitos de membros";"Defeitos por redução do membro inferior";1
110011;2019;"Q909";"Síndrome de Down";"Síndrome de Down";1
110011;2019;"Q665";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2019;"Q02X";"Microcefalia";"Microcefalia";1
110011;2019;"Q909";"Síndrome de Down";"Síndrome de Down";1
110011;2020;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110011;2020;"Q690";"Defeitos de membros";"Polidactilia";1
110011;2021;"Q052";"Defeitos de tubo neural";"Espinha bifida";1
110011;2021;"Q541";"Defeitos de órgãos genitais";"Hipospadia";1
110011;2021;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110011;2021;"Q211";"Cardiopatias congênitas";"Malformações congênitas dos septos cardíacos";1
110011;2022;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110011;2022;"Q699";"Defeitos de membros";"Polidactilia";1
110011;2022;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2022;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2023;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110011;2023;"Q664";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2023;"Q664";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2023;"Q699";"Defeitos de membros";"Polidactilia";1
110011;2023;"Q211";"Cardiopatias congênitas";"Malformações congênitas dos septos cardíacos";1
110011;2023;"Q730";"Defeitos de membros";"Defeitos por redução de membro não especificado";1
110011;2023;"Q660";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2023;"Q371";"Fendas orais";"Fenda labial com fenda palatina";1
110011;2023;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2023;"Q373";"Fendas orais";"Fenda labial com fenda palatina";1
110011;2023;"Q660";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2023;"Q378";"Fendas orais";"Fenda labial com fenda palatina";1
110011;2024;"Q357";"Fendas orais";"Fenda palatina";1
110011;2024;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110011;2024;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2024;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110011;2024;"Q548";"Defeitos de órgãos genitais";"Hipospadia";1
