"","CODMUNRES","ANO","INCOMPLETUDE","TOTAIS","UF"
"8067","313655",2021,0,58,"MG"
"8068","313655",2022,0,45,"MG"
"8069","313655",2023,0,45,"MG"
"8070","313657",2021,0,54,"MG"
"8071","313657",2022,0,39,"MG"
"8072","313657",2023,0,32,"MG"
"8073","313660",2022,0,63,"MG"
"8074","313660",2023,0,71,"MG"
"8075","313680",2021,0,43,"MG"
"8076","313680",2022,0,33,"MG"
"8077","313680",2023,0,39,"MG"
"8078","313690",2021,0,118,"MG"
"8079","313690",2022,0,148,"MG"
"8080","313690",2023,0,170,"MG"
"8081","313695",2021,0,79,"MG"
"8082","313695",2022,0,61,"MG"
"8083","313710",2021,0,52,"MG"
"8084","313710",2023,0,44,"MG"
"8085","313730",2021,0,43,"MG"
"8086","313730",2022,0,33,"MG"
"8087","313730",2023,0,38,"MG"
"8088","313740",2021,0,143,"MG"
"8089","313740",2023,0,136,"MG"
"8090","313750",2023,0,194,"MG"
"8091","313753",2021,0,91,"MG"
"8092","313753",2022,0,91,"MG"
"8093","313753",2023,0,84,"MG"
"8094","313770",2021,0,310,"MG"
"8095","313780",2023,0,205,"MG"
"8096","313790",2021,0,21,"MG"
"8097","313790",2022,0,29,"MG"
"8098","313790",2023,0,19,"MG"
"8099","313800",2022,0,56,"MG"
"8100","313800",2023,0,43,"MG"
"8101","313810",2021,0,97,"MG"
"8102","313810",2022,0,74,"MG"
"8103","313810",2023,0,99,"MG"
"8104","313820",2021,0,1309,"MG"
"8105","313820",2022,0,1246,"MG"
"8106","313820",2023,0,1244,"MG"
"8107","313830",2022,0,29,"MG"
"8108","313835",2023,0,44,"MG"
"8109","313840",2023,0,482,"MG"
"8110","313850",2021,0,40,"MG"
"8111","313850",2022,0,40,"MG"
"8112","313850",2023,0,29,"MG"
"8113","313860",2021,0,169,"MG"
"8114","313860",2022,0,188,"MG"
"8115","313860",2023,0,150,"MG"
"8116","313862",2021,0,95,"MG"
"8117","313862",2022,0,98,"MG"
"8118","313865",2023,0,128,"MG"
"8119","313867",2021,0,112,"MG"
"8120","313867",2022,0,105,"MG"
"8121","313867",2023,0,120,"MG"
"8122","313868",2021,0,78,"MG"
"8123","313868",2022,0,76,"MG"
"8124","313868",2023,0,92,"MG"
"8125","313870",2022,0,53,"MG"
"8126","313870",2023,0,45,"MG"
"8127","313880",2021,0,202,"MG"
"8128","313880",2023,0,181,"MG"
"8129","313910",2022,0,45,"MG"
"8130","313910",2023,0,68,"MG"
"8131","313925",2023,0,46,"MG"
"8132","313940",2021,0,1356,"MG"
"8133","313940",2022,0,1272,"MG"
"8134","313940",2023,0,1287,"MG"
"8135","313950",2021,0,255,"MG"
"8136","313950",2022,0,262,"MG"
"8137","313950",2023,0,251,"MG"
"8138","313970",2021,0,79,"MG"
"8139","313970",2022,0,70,"MG"
"8140","313970",2023,0,82,"MG"
"8141","313990",2023,0,142,"MG"
"8142","314010",2022,0,58,"MG"
"8143","314010",2023,0,62,"MG"
"8144","314015",2021,0,208,"MG"
"8145","314015",2023,0,206,"MG"
"8146","314020",2021,0,37,"MG"
"8147","314020",2023,0,44,"MG"
"8148","314030",2021,0,46,"MG"
"8149","314030",2022,0,45,"MG"
"8150","314030",2023,0,33,"MG"
"8151","314040",2021,0,28,"MG"
"8152","314040",2022,0,35,"MG"
"8153","314050",2021,0,133,"MG"
"8154","314053",2021,0,161,"MG"
"8155","314053",2022,0,130,"MG"
"8156","314053",2023,0,124,"MG"
"8157","314060",2023,0,32,"MG"
"8158","314080",2021,0,135,"MG"
"8159","314080",2022,0,149,"MG"
"8160","314080",2023,0,156,"MG"
"8161","314085",2021,0,142,"MG"
"8162","314100",2023,0,139,"MG"
"8163","314120",2021,0,28,"MG"
"8164","314120",2022,0,40,"MG"
"8165","314120",2023,0,42,"MG"
"8166","314130",2021,0,41,"MG"
"8167","314130",2022,0,36,"MG"
"8168","314130",2023,0,56,"MG"
"8169","314140",2021,0,287,"MG"
"8170","314160",2023,0,116,"MG"
"8171","314170",2022,0,62,"MG"
"8172","314170",2023,0,46,"MG"
"8173","314190",2021,0,36,"MG"
"8174","314190",2022,0,39,"MG"
"8175","314190",2023,0,48,"MG"
"8176","314200",2021,0,150,"MG"
"8177","314200",2022,0,142,"MG"
"8178","314200",2023,0,146,"MG"
"8179","314210",2021,0,80,"MG"
"8180","314210",2022,0,84,"MG"
"8181","314210",2023,0,89,"MG"
"8182","314220",2023,0,136,"MG"
"8183","314225",2022,0,42,"MG"
"8184","314230",2021,0,73,"MG"
"8185","314230",2023,0,53,"MG"
"8186","314240",2021,0,100,"MG"
"8187","314240",2022,0,89,"MG"
"8188","314250",2021,0,17,"MG"
"8189","314250",2022,0,12,"MG"
