"codmunres","municipio","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","uf","idhm"
"173",150157,"Bom Jesus do Tocantins","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.589"
"174",150160,"Bonito","Norte",15009,"Rio Caetés",1511,"Macrorregional II","Pará","0.546"
"175",150170,"Bragança","Norte",15009,"Rio Caetés",1511,"Macrorregional II","Pará","0.6"
"176",150172,"Brasil Novo","Norte",15012,"Xingu",1510,"Macrorregional III","Pará","0.613"
"177",150175,"Brejo Grande do Araguaia","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.591"
"178",150178,"Breu Branco","Norte",15004,"Lago de Tucuruí",1509,"Macrorregional IV","Pará","0.568"
"179",150180,"Breves","Norte",15014,"Marajó II",1512,"Macrorregional I","Pará","0.503"
"180",150190,"Bujaru","Norte",15007,"Metropolitana II",1511,"Macrorregional II","Pará","0.552"
"181",150195,"Cachoeira do Piriá","Norte",15009,"Rio Caetés",1511,"Macrorregional II","Pará","0.473"
"182",150200,"Cachoeira do Arari","Norte",15013,"Marajó I",1512,"Macrorregional I","Pará","0.546"
"183",150210,"Cametá","Norte",15011,"Tocantins",1512,"Macrorregional I","Pará","0.577"
"184",150215,"Canaã dos Carajás","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.673"
"185",150220,"Capanema","Norte",15009,"Rio Caetés",1511,"Macrorregional II","Pará","0.655"
"186",150230,"Capitão Poço","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.548"
"187",150240,"Castanhal","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.673"
"188",150250,"Chaves","Norte",15013,"Marajó I",1512,"Macrorregional I","Pará","0.453"
"189",150260,"Colares","Norte",15007,"Metropolitana II",1511,"Macrorregional II","Pará","0.602"
"190",150270,"Conceição do Araguaia","Norte",15001,"Araguaia",1509,"Macrorregional IV","Pará","0.64"
"191",150275,"Concórdia do Pará","Norte",15007,"Metropolitana II",1511,"Macrorregional II","Pará","0.566"
"192",150276,"Cumaru do Norte","Norte",15001,"Araguaia",1509,"Macrorregional IV","Pará","0.55"
"193",150277,"Curionópolis","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.636"
"194",150280,"Curralinho","Norte",15014,"Marajó II",1512,"Macrorregional I","Pará","0.502"
"195",150285,"Curuá","Norte",15002,"Baixo Amazonas",1510,"Macrorregional III","Pará","0.578"
"196",150290,"Curuçá","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.582"
"197",150293,"Dom Eliseu","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.615"
"198",150295,"Eldorado do Carajás","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.56"
"199",150300,"Faro","Norte",15002,"Baixo Amazonas",1510,"Macrorregional III","Pará","0.563"
"200",150304,"Floresta do Araguaia","Norte",15001,"Araguaia",1509,"Macrorregional IV","Pará","0.583"
"201",150307,"Garrafão do Norte","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.526"
"202",150309,"Goianésia do Pará","Norte",15004,"Lago de Tucuruí",1509,"Macrorregional IV","Pará","0.56"
"203",150310,"Gurupá","Norte",15014,"Marajó II",1512,"Macrorregional I","Pará","0.509"
"204",150320,"Igarapé-Açu","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.595"
"205",150330,"Igarapé-Miri","Norte",15011,"Tocantins",1512,"Macrorregional I","Pará","0.547"
"206",150340,"Inhangapi","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.572"
"207",150345,"Ipixuna do Pará","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.489"
"208",150350,"Irituia","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.559"
"209",150360,"Itaituba","Norte",15010,"Tapajós",1510,"Macrorregional III","Pará","0.64"
"210",150370,"Itupiranga","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.528"
"211",150375,"Jacareacanga","Norte",15010,"Tapajós",1510,"Macrorregional III","Pará","0.505"
"212",150380,"Jacundá","Norte",15004,"Lago de Tucuruí",1509,"Macrorregional IV","Pará","0.622"
"213",150390,"Juruti","Norte",15002,"Baixo Amazonas",1510,"Macrorregional III","Pará","0.592"
"214",150400,"Limoeiro do Ajuru","Norte",15011,"Tocantins",1512,"Macrorregional I","Pará","0.541"
"215",150405,"Mãe do Rio","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.599"
"216",150410,"Magalhães Barata","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.597"
"217",150420,"Marabá","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.668"
"218",150430,"Maracanã","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.57"
"219",150440,"Marapanim","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.609"
"220",150442,"Marituba","Norte",15006,"Metropolitana I",1512,"Macrorregional I","Pará","0.676"
"221",150445,"Medicilândia","Norte",15012,"Xingu",1510,"Macrorregional III","Pará","0.582"
"222",150450,"Melgaço","Norte",15014,"Marajó II",1512,"Macrorregional I","Pará","0.418"
"223",150460,"Mocajuba","Norte",15011,"Tocantins",1512,"Macrorregional I","Pará","0.575"
"224",150470,"Moju","Norte",15011,"Tocantins",1512,"Macrorregional I","Pará","0.547"
"225",150475,"Mojuí dos Campos","Norte",15002,"Baixo Amazonas",1510,"Macrorregional III","Pará","#N/A"
"226",150480,"Monte Alegre","Norte",15002,"Baixo Amazonas",1510,"Macrorregional III","Pará","0.589"
"227",150490,"Muaná","Norte",15013,"Marajó I",1512,"Macrorregional I","Pará","0.547"
"228",150495,"Nova Esperança do Piriá","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.502"
"229",150497,"Nova Ipixuna","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.581"
"230",150500,"Nova Timboteua","Norte",15009,"Rio Caetés",1511,"Macrorregional II","Pará","0.609"
"231",150503,"Novo Progresso","Norte",15010,"Tapajós",1510,"Macrorregional III","Pará","0.673"
"232",150506,"Novo Repartimento","Norte",15004,"Lago de Tucuruí",1509,"Macrorregional IV","Pará","0.537"
"233",150510,"Óbidos","Norte",15002,"Baixo Amazonas",1510,"Macrorregional III","Pará","0.594"
"234",150520,"Oeiras do Pará","Norte",15011,"Tocantins",1512,"Macrorregional I","Pará","0.507"
"235",150530,"Oriximiná","Norte",15002,"Baixo Amazonas",1510,"Macrorregional III","Pará","0.623"
"236",150540,"Ourém","Norte",15009,"Rio Caetés",1511,"Macrorregional II","Pará","0.568"
"237",150543,"Ourilândia do Norte","Norte",15001,"Araguaia",1509,"Macrorregional IV","Pará","0.624"
"238",150548,"Pacajá","Norte",15012,"Xingu",1510,"Macrorregional III","Pará","0.515"
"239",150549,"Palestina do Pará","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.589"
"240",150550,"Paragominas","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.645"
"241",150553,"Parauapebas","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.715"
"242",150555,"Pau D'Arco","Norte",15001,"Araguaia",1509,"Macrorregional IV","Pará","0.574"
"243",150560,"Peixe-Boi","Norte",15009,"Rio Caetés",1511,"Macrorregional II","Pará","0.581"
"244",150563,"Piçarra","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.563"
"245",150565,"Placas","Norte",15002,"Baixo Amazonas",1510,"Macrorregional III","Pará","0.552"
"246",150570,"Ponta de Pedras","Norte",15013,"Marajó I",1512,"Macrorregional I","Pará","0.562"
"247",150580,"Portel","Norte",15014,"Marajó II",1512,"Macrorregional I","Pará","0.483"
"248",150590,"Porto de Moz","Norte",15012,"Xingu",1510,"Macrorregional III","Pará","0.503"
"249",150600,"Prainha","Norte",15002,"Baixo Amazonas",1510,"Macrorregional III","Pará","0.523"
"250",150610,"Primavera","Norte",15009,"Rio Caetés",1511,"Macrorregional II","Pará","0.577"
"251",150611,"Quatipuru","Norte",15009,"Rio Caetés",1511,"Macrorregional II","Pará","0.543"
"252",150613,"Redenção","Norte",15001,"Araguaia",1509,"Macrorregional IV","Pará","0.672"
"253",150616,"Rio Maria","Norte",15001,"Araguaia",1509,"Macrorregional IV","Pará","0.638"
"254",150618,"Rondon do Pará","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.602"
"255",150619,"Rurópolis","Norte",15010,"Tapajós",1510,"Macrorregional III","Pará","0.548"
