CODMUNRES,ANO,TOTAL_DE_NASCIDOS_VIVOS,NASCIDOS_VIVOS_COM_BAIXO_PESO,NASCIDOS_VIVOS_PREMATUROS,NASCIDOS_VIVOS_TERMO_PRECOCE
120013,2019,329.0,21.0,52.0,90.0
120013,2020,241.0,26.0,41.0,58.0
120017,2012,201.0,23.0,36.0,45.0
120017,2013,193.0,10.0,32.0,22.0
120017,2014,234.0,15.0,41.0,38.0
120017,2015,219.0,12.0,20.0,41.0
120017,2016,194.0,16.0,26.0,40.0
120017,2017,243.0,16.0,25.0,56.0
120017,2018,222.0,23.0,48.0,41.0
120017,2019,217.0,17.0,26.0,58.0
120017,2020,190.0,15.0,29.0,53.0
120020,2012,1741.0,143.0,239.0,369.0
120020,2013,1783.0,134.0,194.0,411.0
120020,2014,1818.0,171.0,242.0,419.0
120020,2015,1839.0,144.0,261.0,375.0
120020,2016,1632.0,127.0,235.0,396.0
120020,2017,1684.0,125.0,241.0,380.0
120020,2018,1756.0,121.0,258.0,400.0
120020,2019,1809.0,136.0,225.0,422.0
120020,2020,1691.0,146.0,252.0,362.0
120025,2012,282.0,22.0,41.0,60.0
120025,2013,275.0,20.0,28.0,48.0
120025,2014,262.0,14.0,41.0,81.0
120025,2015,279.0,12.0,32.0,73.0
120025,2016,270.0,28.0,32.0,72.0
120025,2017,291.0,15.0,35.0,59.0
120025,2018,273.0,20.0,36.0,61.0
120025,2019,314.0,20.0,42.0,70.0
120025,2020,293.0,22.0,43.0,94.0
120030,2012,904.0,52.0,119.0,149.0
120030,2013,791.0,39.0,84.0,123.0
120030,2014,829.0,44.0,73.0,129.0
120030,2015,772.0,51.0,87.0,127.0
120030,2016,834.0,56.0,92.0,162.0
120030,2017,833.0,44.0,71.0,169.0
120030,2018,833.0,60.0,97.0,186.0
120030,2019,871.0,47.0,97.0,204.0
120030,2020,789.0,54.0,84.0,162.0
120032,2012,269.0,27.0,35.0,33.0
120032,2013,271.0,41.0,40.0,47.0
120032,2014,282.0,26.0,40.0,45.0
120032,2015,273.0,21.0,30.0,43.0
120032,2016,263.0,20.0,37.0,48.0
120032,2017,266.0,25.0,49.0,71.0
120032,2018,274.0,26.0,42.0,47.0
120032,2019,218.0,22.0,34.0,60.0
120032,2020,205.0,21.0,24.0,50.0
120033,2012,386.0,21.0,32.0,82.0
120033,2013,399.0,32.0,44.0,75.0
120033,2014,413.0,21.0,34.0,88.0
120033,2015,395.0,23.0,39.0,86.0
120033,2016,325.0,20.0,47.0,72.0
120033,2017,358.0,11.0,38.0,69.0
120033,2018,367.0,25.0,50.0,75.0
120033,2019,345.0,31.0,48.0,78.0
120033,2020,420.0,36.0,56.0,88.0
120034,2012,256.0,28.0,48.0,43.0
120034,2013,229.0,25.0,20.0,56.0
120034,2014,243.0,22.0,36.0,49.0
120034,2015,266.0,32.0,38.0,45.0
120034,2016,236.0,21.0,40.0,62.0
120034,2017,261.0,17.0,47.0,50.0
120034,2018,252.0,17.0,43.0,64.0
120034,2019,230.0,10.0,30.0,55.0
120034,2020,280.0,25.0,51.0,67.0
120035,2012,474.0,25.0,62.0,68.0
120035,2013,485.0,23.0,47.0,99.0
120035,2014,458.0,31.0,56.0,98.0
120035,2015,445.0,33.0,50.0,91.0
120035,2016,352.0,20.0,36.0,77.0
120035,2017,388.0,30.0,34.0,72.0
120035,2018,407.0,43.0,48.0,91.0
120035,2019,448.0,40.0,62.0,102.0
120035,2020,334.0,21.0,41.0,81.0
120038,2012,353.0,19.0,45.0,82.0
120038,2013,334.0,32.0,45.0,60.0
120038,2014,322.0,28.0,41.0,64.0
120038,2015,350.0,20.0,41.0,76.0
120038,2016,339.0,29.0,45.0,84.0
120038,2017,305.0,19.0,51.0,59.0
120038,2018,309.0,21.0,43.0,78.0
120038,2019,318.0,23.0,49.0,78.0
120038,2020,285.0,23.0,48.0,77.0
120039,2012,338.0,18.0,28.0,47.0
120039,2013,287.0,18.0,20.0,39.0
120039,2014,250.0,18.0,23.0,41.0
120039,2015,262.0,17.0,30.0,39.0
120039,2016,230.0,18.0,25.0,39.0
120039,2017,282.0,19.0,26.0,52.0
120039,2018,254.0,18.0,39.0,41.0
120039,2019,270.0,18.0,27.0,59.0
120039,2020,287.0,21.0,44.0,46.0
120040,2012,6531.0,588.0,928.0,1588.0
120040,2013,7116.0,598.0,875.0,1180.0
120040,2014,7011.0,596.0,909.0,1719.0
120040,2015,6965.0,640.0,960.0,1760.0
120040,2016,6614.0,581.0,994.0,1798.0
120040,2017,6460.0,485.0,953.0,1798.0
120040,2018,6495.0,537.0,955.0,1809.0
120040,2019,6324.0,503.0,987.0,1738.0
